Filename	BibTex
face_memory_test	@misc{EBFMT,   title = {Exposure Based Face Memory Test [dataset and codebook]},   howpublished = {\\url{http://openpsychometrics.org/_rawdata/EBFMT.zip}},   note = {Accessed via http://openpsychometrics.org/_rawdata/},   year = {n.d.} }
figure_skating	@misc{singer2021isu,   author = {Singer-Vine, Jeremy and Templon, John},   title = {ISU Figure Skating Score Sheets as Structured Data},   year = {2021},   publisher = {BuzzFeed News},   howpublished = {\\url{https://github.com/BuzzFeedNews/figure-skating-scores}},   note = {[data set]} }
fims_tam	@Manual{TAM2022,   title = {TAM: Test Analysis Modules},   author = {Alexander Robitzsch and Thomas Kiefer and Margaret Wu},   year = {2022},   note = {R package version 4.1-4},   url = {https://CRAN.R-project.org/package=TAM} }
firstborn_personality	@misc{FBPS2019,   title = {Development of the {Firstborn} {Personality} {Scale} [dataset and codebook]},   year = {2019},   url = {http://openpsychometrics.org/_rawdata/FBPS-ValidationData.zip},   howpublished = {\\url{http://openpsychometrics.org/_rawdata/}} }
florida_twins_behavior	@misc{schatschneider2021behavior,   author = {Schatschneider, Christopher and Lonigan, Christopher and Taylor, Jeanette E.},   title = {Behavior and Environment Survey Codebook},   year = {2021},   publisher = {LDbase},   url = {http://ldbase.org/documents/c4669c5b-9853-45be-a33f-9dff7102de20} }
fractions_experiment	@misc{aleven2013cleaned,   author = {Aleven, V. and Rau, M. and Weitekamp, D.},   title = {Cleaned logs with modified step names},   year = {2013},   note = {[data set]},   publisher = {DataShop @ CMU},   url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=580} }
gatech_cappunish	@phdthesis{Roberts1995,   author = {Roberts, James S.},   title = {Item response theory approaches to attitude measurement},   school = {University of South Carolina},   address = {Columbia},   year = {1995},   note = {Dissertation Abstracts International, 56, 7089B},   url = {https://prdlab.gatech.edu/unfolding/data/} }
gatech_censor	@phdthesis{Roberts1995,   author = {Roberts, James S.},   title = {Item response theory approaches to attitude measurement},   school = {University of South Carolina},   address = {Columbia},   year = {1995},   note = {Dissertation Abstracts International, 56, 7089B},   url = {https://prdlab.gatech.edu/unfolding/data/} }
gender_roles	@misc{osri2019,   title = {Open Sex Role Inventory [dataset and codebook]},   year = {2019},   url = {https://openpsychometrics.org/_rawdata/OSRI44_dev_data.zip},   howpublished = {\\url{http://openpsychometrics.org/_rawdata/}} }
geometry_course	@misc{aleven2007step,   author = {Aleven, V. and Bllings, B.},   year = {2007},   title = {Step tables and test scores [data set]},   publisher = {DataShop @ CMU},   url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=122} }
